Filename,Width,Height
captured_image_2024-05-21 00-17-24.jpg,65,35
captured_image_2024-05-21 00-18-24.jpg,65,38
captured_image_2024-05-21 00-19-24.jpg,63,40
captured_image_2024-05-21 00-20-24.jpg,67,38
captured_image_2024-05-21 00-21-24.jpg,52,34
captured_image_2024-05-21 00-22-24.jpg,59,37
captured_image_2024-05-21 00-23-24.jpg,69,41
captured_image_2024-05-21 00-24-24.jpg,66,49
captured_image_2024-05-21 00-26-24.jpg,66,38
captured_image_2024-05-21 00-44-24.jpg,58,39
captured_image_2024-05-21 09-52-38.jpg,63,38
captured_image_2024-05-21 09-53-38.jpg,71,44
captured_image_2024-05-21 09-54-38.jpg,84,25
captured_image_2024-05-21 09-55-38.jpg,76,34
captured_image_2024-05-21 09-56-38.jpg,65,42
captured_image_2024-05-21 09-57-38.jpg,65,46
captured_image_2024-05-21 09-58-38.jpg,64,46
captured_image_2024-05-21 09-59-38.jpg,73,43
captured_image_2024-05-21 10-00-38.jpg,70,44
captured_image_2024-05-21 10-01-38.jpg,85,46
captured_image_2024-05-21 10-02-38.jpg,78,41
captured_image_2024-05-21 10-03-38.jpg,71,56
captured_image_2024-05-21 10-04-38.jpg,71,52
captured_image_2024-05-21 10-05-38.jpg,69,50
captured_image_2024-05-21 10-06-38.jpg,70,49
captured_image_2024-05-21 10-07-38.jpg,69,51
captured_image_2024-05-21 10-08-38.jpg,65,37
captured_image_2024-05-21 10-09-38.jpg,69,56
captured_image_2024-05-21 10-10-38.jpg,76,60
captured_image_2024-05-21 10-11-38.jpg,70,53
captured_image_2024-05-21 10-12-38.jpg,69,54
captured_image_2024-05-21 10-13-38.jpg,75,67
captured_image_2024-05-21 10-16-38.jpg,84,64
captured_image_2024-05-21 10-18-38.jpg,80,78
captured_image_2024-05-21 10-23-38.jpg,74,63
captured_image_2024-05-21 10-23-38.jpg,0,0
captured_image_2024-05-21 19-25-52.jpg,109,67
captured_image_2024-05-21 19-26-52.jpg,100,70
captured_image_2024-05-21 19-27-52.jpg,95,64
captured_image_2024-05-21 19-28-52.jpg,98,63
captured_image_2024-05-21 19-29-52.jpg,105,68
captured_image_2024-05-21 19-30-52.jpg,97,59
captured_image_2024-05-21 19-31-52.jpg,102,68
captured_image_2024-05-21 19-32-52.jpg,99,63
captured_image_2024-05-21 19-33-52.jpg,109,74
captured_image_2024-05-21 19-35-52.jpg,115,75
captured_image_2024-05-21 19-36-52.jpg,115,83
